title,sentence_five,sentence_four,sentence_three,sentence_two,sentence_one,word_five,word_four,word_three,word_two,word_one
【食記】高雄　肉多多火鍋(左營明誠)~＊暴龍級特餐！肉多到吃不完之大食量肉控必訪！,3,13,57,41,19,2,9,30,11,3
【食記】高雄☼三民 永心鳳茶**用高腳杯時尚品台灣茶**,1,1,43,37,11,2,7,21,11,3
" 文慶雞 新加坡文東記台北直營店,忠孝復興吃海南雞飯啦!!",3,19,5,0,0,0,0,1,1,0
【台南】皇冠假日酒店*元素Buffet自助餐廳*假日龍蝦吃到飽,0,8,38,78,22,0,5,17,15,4
高雄左營｜茶六燒肉堂,4,5,72,57,17,1,11,28,21,7
【新北 板橋站美食】燒肉粽大賣場,1,8,52,49,8,0,7,30,12,3
食記＠高雄市鳳山區。鳳山美食攻略!!! 鳯山小吃懶人包 (2018持續更新中),0,41,0,0,0,0,0,104,0,0
【吃 台北】君品飯店《頤宮》爆炸好吃的米其林三星粵菜港點,6,23,107,65,15,1,7,19,9,4
【食記】新竹．竹北．異人館咖啡部屋(超強大複合式餐飲最新選擇),1,5,71,72,14,2,22,72,50,17
【食記】台北民權西路- 充滿防彈跟阿米的Fans Cafe,2,7,38,17,7,2,5,25,15,7
G7義式手工冰淇淋(提拉米蘇/開心果/焦糖奶酪/黑櫻桃果醬)清爽不奶膩．GELATO鮮奶製成的冰淇淋．全家便利商店．,0,0,0,9,0,0,0,0,3,0
【新竹|南寮漁港】老漁港新海鮮餐廳 ♥ 美式水桶海鮮 大水桶上菜 用手抓 大口吃海鮮就對了 附兒童遊戲室,2,6,34,27,5,3,8,35,20,2
【中肯‧食記】樂。野食‧捷運忠孝復興站｜東區靜巷內文青咖啡廳‧創意早午餐‧風味精釀啤酒！,2,9,77,67,21,1,7,17,4,0
【台北】雲之南麗江斑魚火鍋 ~ 桌邊現片!! 老饕們不能錯過的鮮魚料理火鍋~,2,25,24,1,0,0,6,11,9,0
【台北美食】三角冰 ~ 景美人氣冰品店❤️宇治金時/珍珠奶奶冰 - 捷運萬隆站,4,16,22,12,2,3,7,10,3,0
